plot_name,longitude,latitude
plot1,20.96816700,17.18263900
plot1,20.99905600,17.18711100
plot1,20.99754200,17.16930600
plot1,20.96936100,17.17273300
plot2,20.82993000,17.07525600
plot2,20.88986800,17.07538100
plot2,20.89062800,17.06143600
plot2,20.90574900,17.06238300
plot2,20.91400000,17.04370000
plot2,20.92640000,17.04500000
plot2,20.91983700,17.05884500
plot2,20.92904200,17.06185900
plot2,20.95876800,17.01088600
plot2,20.81897500,17.05579900
plot2,20.82993000,17.07525600
plot3,21.00619400,17.10588900
plot3,21.01740000,17.11480000
plot3,21.02604500,17.08905300
plot3,21.05569200,17.08905300
plot3,21.05161100,17.07605600
plot3,21.01751200,17.06975800
plot3,21.01469200,17.08202300
plot3,21.00232300,17.07818200
plot3,21.00155500,17.08414000
plot3,21.01344500,17.08808300
plot4,20.92200400,17.19390000
plot4,20.94272200,17.19430000
plot4,20.94609600,17.18957700
plot4,20.93991100,17.17913500
plot4,20.93468900,17.18263700
plot4,20.93261100,17.17894400
